dataset,model,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,SID_mean,SID_std,source_kind,graph_kind,n_nodes,filename_n_edges,n_edges,graph_type,graph_type_label,NSHD_mean,NSHD_std,SID_low_mean,SID_low_std,SID_high_mean,SID_high_std,NSID_mean,NSID_std,NSID_low_mean,NSID_low_std,NSID_high_mean,NSID_high_std
dag_5_nodes_7_edges_degrees_SF,NOTEARS-MLP,0.1,0.03,0.02,0.14,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.14,0.0,0.04,0.01,0.06,3.98,0.14,6.96,0.28,,dag,5,7,4,SF,SF,0.995,0.035,6.96,0.28,6.96,0.28,1.74,0.07,1.74,0.07,1.74,0.07
dag_5_nodes_7_edges_degrees_SF,Random,0.0,0.0,7.72,1.8,0.8,0.14,0.38,0.27,1.03,0.28,0.2,0.14,0.38,0.27,0.26,0.18,6.98,1.56,8.3,4.13,,dag,5,7,4,SF,SF,1.745,0.39,8.3,4.13,8.3,4.13,2.075,1.0325,2.075,1.0325,2.075,1.0325
dag_5_nodes_7_edges_degrees_random,FGS,0.08,0.05,4.66,1.22,0.88,0.16,0.07,0.1,1.39,0.48,0.12,0.16,0.07,0.1,0.09,0.12,7.56,1.23,18.24,2.82,,dag,5,7,7,random,LT,1.0799999999999998,0.1757142857142857,18.24,2.82,18.24,2.82,2.6057142857142854,0.40285714285714286,2.6057142857142854,0.40285714285714286,2.6057142857142854,0.40285714285714286
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.1,0.06,0.06,0.31,0.04,0.2,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.16,0.79,,dag,5,7,7,random,LT,1.0,0.0,16.16,0.79,16.16,0.79,2.3085714285714287,0.11285714285714286,2.3085714285714287,0.11285714285714286,2.3085714285714287,0.11285714285714286
dag_5_nodes_7_edges_degrees_random,Random,0.0,0.0,7.72,1.8,0.65,0.18,0.38,0.21,1.68,0.61,0.35,0.18,0.38,0.21,0.36,0.19,6.58,1.64,14.04,3.92,,dag,5,7,7,random,LT,0.9400000000000001,0.23428571428571426,14.04,3.92,14.04,3.92,2.005714285714286,0.5599999999999999,2.005714285714286,0.5599999999999999,2.005714285714286,0.5599999999999999
dag_5_nodes_7_edges_none_ER,FGS,0.08,0.05,4.48,1.07,0.85,0.14,0.1,0.08,1.26,0.33,0.15,0.14,0.1,0.08,0.12,0.1,6.6,0.67,16.24,2.1,,dag,5,7,7,ER,ER,0.9428571428571428,0.09571428571428572,16.24,2.1,16.24,2.1,2.32,0.3,2.32,0.3,2.32,0.3
dag_5_nodes_7_edges_none_ER,NOTEARS-MLP,0.12,0.04,0.02,0.14,0.02,0.14,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,15.02,0.14,,dag,5,7,7,ER,ER,1.0,0.0,15.02,0.14,15.02,0.14,2.1457142857142855,0.02,2.1457142857142855,0.02,2.1457142857142855,0.02
dag_5_nodes_7_edges_none_ER,Random,0.0,0.0,7.72,1.8,0.62,0.16,0.42,0.2,1.6,0.56,0.38,0.16,0.42,0.2,0.39,0.17,6.36,1.54,12.08,3.89,,dag,5,7,7,ER,ER,0.9085714285714286,0.22,12.08,3.89,12.08,3.89,1.7257142857142858,0.5557142857142857,1.7257142857142858,0.5557142857142857,1.7257142857142858,0.5557142857142857
dag_5_nodes_7_edges_none_SF,FGS,0.08,0.06,2.3,0.93,0.84,0.22,0.11,0.15,0.31,0.15,0.15,0.22,0.11,0.15,0.12,0.17,5.21,0.88,4.91,1.08,,dag,5,7,4,SF,SF,1.3025,0.22,4.91,1.08,4.91,1.08,1.2275,0.27,1.2275,0.27,1.2275,0.27
dag_5_nodes_7_edges_none_SF,NOTEARS-MLP,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,,dag,5,7,4,SF,SF,1.0,0.0,5.0,0.0,5.0,0.0,1.25,0.0,1.25,0.0,1.25,0.0
dag_5_nodes_7_edges_none_SF,Random,0.0,0.0,7.72,1.8,0.8,0.13,0.38,0.27,1.03,0.28,0.2,0.13,0.38,0.27,0.26,0.17,7.16,1.5,6.94,4.38,,dag,5,7,4,SF,SF,1.79,0.375,6.94,4.38,6.94,4.38,1.735,1.095,1.735,1.095,1.735,1.095
dag_5_nodes_7_edges_none_random,FGS,0.09,0.06,4.94,1.08,0.53,0.29,0.34,0.23,0.85,0.47,0.47,0.29,0.34,0.23,0.39,0.25,6.02,1.62,12.24,4.56,,dag,5,7,7,random,LT,0.86,0.23142857142857146,12.24,4.56,12.24,4.56,1.7485714285714287,0.6514285714285714,1.7485714285714287,0.6514285714285714,1.7485714285714287,0.6514285714285714
dag_5_nodes_7_edges_none_random,NOTEARS-MLP,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,,dag,5,7,7,random,LT,1.0,0.0,16.0,0.0,16.0,0.0,2.2857142857142856,0.0,2.2857142857142856,0.0,2.2857142857142856,0.0
dag_5_nodes_7_edges_none_random,Random,0.0,0.0,7.72,1.8,0.68,0.17,0.37,0.22,1.72,0.55,0.32,0.17,0.37,0.22,0.34,0.19,6.84,1.57,13.74,4.32,,dag,5,7,7,random,LT,0.9771428571428571,0.22428571428571428,13.74,4.32,13.74,4.32,1.9628571428571429,0.6171428571428572,1.9628571428571429,0.6171428571428572,1.9628571428571429,0.6171428571428572
dag_5_nodes_7_edges_semantics_ER,FGS,0.09,0.07,5.02,1.24,0.79,0.15,0.16,0.11,1.31,0.32,0.21,0.15,0.16,0.11,0.18,0.12,6.54,1.15,16.28,3.26,,dag,5,7,7,ER,ER,0.9342857142857143,0.16428571428571428,16.28,3.26,16.28,3.26,2.325714285714286,0.4657142857142857,2.325714285714286,0.4657142857142857,2.325714285714286,0.4657142857142857
dag_5_nodes_7_edges_semantics_ER,NOTEARS-MLP,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,0.0,,dag,5,7,7,ER,ER,1.0,0.0,12.0,0.0,12.0,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0
dag_5_nodes_7_edges_semantics_ER,Random,0.0,0.0,7.72,1.8,0.65,0.14,0.39,0.19,1.67,0.52,0.35,0.14,0.39,0.19,0.36,0.16,6.74,1.38,12.88,3.88,,dag,5,7,7,ER,ER,0.9628571428571429,0.19714285714285712,12.88,3.88,12.88,3.88,1.84,0.5542857142857143,1.84,0.5542857142857143,1.84,0.5542857142857143
dag_5_nodes_7_edges_semantics_SF,FGS,0.09,0.07,2.78,0.96,0.92,0.13,0.07,0.11,0.41,0.13,0.08,0.13,0.07,0.11,0.07,0.12,6.14,0.82,5.35,1.03,,dag,5,7,4,SF,SF,1.535,0.205,5.35,1.03,5.35,1.03,1.3375,0.2575,1.3375,0.2575,1.3375,0.2575
dag_5_nodes_7_edges_semantics_SF,NOTEARS-MLP,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,,dag,5,7,4,SF,SF,1.0,0.0,6.0,0.0,6.0,0.0,1.5,0.0,1.5,0.0,1.5,0.0
dag_5_nodes_7_edges_semantics_SF,Random,0.0,0.0,7.72,1.8,0.82,0.12,0.35,0.23,1.05,0.26,0.18,0.12,0.35,0.23,0.23,0.15,7.22,1.22,7.68,4.15,,dag,5,7,4,SF,SF,1.805,0.305,7.68,4.15,7.68,4.15,1.92,1.0375,1.92,1.0375,1.92,1.0375
dag_5_nodes_7_edges_semantics_random,FGS,0.1,0.08,4.56,1.01,0.63,0.16,0.25,0.12,0.95,0.3,0.37,0.16,0.25,0.12,0.29,0.13,6.28,1.34,14.36,2.92,,dag,5,7,7,random,LT,0.8971428571428571,0.19142857142857145,14.36,2.92,14.36,2.92,2.051428571428571,0.41714285714285715,2.051428571428571,0.41714285714285715,2.051428571428571,0.41714285714285715
dag_5_nodes_7_edges_semantics_random,NOTEARS-MLP,0.1,0.04,0.02,0.14,0.02,0.14,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,,dag,5,7,7,random,LT,1.0,0.0,16.0,0.0,16.0,0.0,2.2857142857142856,0.0,2.2857142857142856,0.0,2.2857142857142856,0.0
dag_5_nodes_7_edges_semantics_random,Random,0.0,0.0,7.72,1.8,0.68,0.16,0.36,0.2,1.73,0.53,0.32,0.16,0.36,0.2,0.34,0.17,6.94,1.48,14.42,3.41,,dag,5,7,7,random,LT,0.9914285714285714,0.21142857142857144,14.42,3.41,14.42,3.41,2.06,0.48714285714285716,2.06,0.48714285714285716,2.06,0.48714285714285716
dag_10_nodes_10_edges_degrees_ER,GRaSP,8.33,2.36,4.54,1.67,0.08,0.17,0.42,0.18,0.01,0.03,0.92,0.17,0.42,0.18,0.58,0.17,5.88,1.8,19.32,5.98,npy,dag,10,10,10,ER,ER,0.588,0.18,19.32,5.98,19.32,5.98,1.932,0.5980000000000001,1.932,0.5980000000000001,1.932,0.5980000000000001
dag_10_nodes_10_edges_degrees_ER,BOSS,9.9,2.82,5.04,1.38,0.04,0.1,0.49,0.15,0.0,0.01,0.96,0.1,0.49,0.15,0.65,0.15,5.1,1.53,16.9,5.14,npy,dag,10,10,10,ER,ER,0.51,0.153,16.9,5.14,16.9,5.14,1.69,0.514,1.69,0.514,1.69,0.514
dag_10_nodes_10_edges_degrees_SF,GRaSP,2.5,1.27,2.84,2.06,0.13,0.3,0.25,0.2,0.02,0.04,0.86,0.32,0.25,0.2,0.45,0.16,6.96,1.98,11.16,4.51,npy,dag,10,10,9,SF,SF,0.7733333333333333,0.22,11.16,4.51,11.16,4.51,1.24,0.5011111111111111,1.24,0.5011111111111111,1.24,0.5011111111111111
dag_10_nodes_10_edges_degrees_SF,BOSS,3.34,2.02,3.2,2.14,0.06,0.16,0.32,0.2,0.01,0.03,0.94,0.16,0.32,0.2,0.46,0.18,6.34,1.72,10.02,3.86,npy,dag,10,10,9,SF,SF,0.7044444444444444,0.19111111111111112,10.02,3.86,10.02,3.86,1.1133333333333333,0.4288888888888889,1.1133333333333333,0.4288888888888889,1.1133333333333333,0.4288888888888889
dag_10_nodes_10_edges_degrees_random,GRaSP,4.5,1.96,6.7,1.8,0.23,0.29,0.53,0.23,0.04,0.05,0.77,0.29,0.53,0.23,0.63,0.24,5.26,2.83,13.88,8.21,npy,dag,10,10,10,random,LT,0.526,0.28300000000000003,13.88,8.21,13.88,8.21,1.3880000000000001,0.8210000000000001,1.3880000000000001,0.8210000000000001,1.3880000000000001,0.8210000000000001
dag_10_nodes_10_edges_degrees_random,BOSS,6.43,2.82,7.28,1.59,0.25,0.3,0.54,0.24,0.05,0.07,0.75,0.3,0.54,0.24,0.66,0.21,5.22,3.13,14.84,10.52,npy,dag,10,10,10,random,LT,0.522,0.313,14.84,10.52,14.84,10.52,1.484,1.052,1.484,1.052,1.484,1.052
dag_10_nodes_10_edges_none_ER,GRaSP,6.88,2.99,3.9,1.53,0.01,0.06,0.38,0.14,0.01,0.03,0.99,0.06,0.38,0.14,0.54,0.13,6.22,1.34,36.74,4.17,npy,dag,10,10,10,ER,ER,0.622,0.134,36.74,4.17,36.74,4.17,3.6740000000000004,0.417,3.6740000000000004,0.417,3.6740000000000004,0.417
dag_10_nodes_10_edges_none_ER,BOSS,9.18,4.79,3.66,1.41,0.01,0.09,0.36,0.15,0.0,0.02,0.99,0.1,0.36,0.15,0.53,0.14,6.38,1.46,37.42,4.54,npy,dag,10,10,10,ER,ER,0.638,0.146,37.42,4.54,37.42,4.54,3.742,0.454,3.742,0.454,3.742,0.454
dag_10_nodes_10_edges_none_SF,GRaSP,1.2,0.68,1.98,1.5,0.06,0.21,0.2,0.14,0.01,0.02,0.93,0.23,0.2,0.14,0.39,0.08,7.3,1.28,10.72,1.44,npy,dag,10,10,9,SF,SF,0.8111111111111111,0.14222222222222222,10.72,1.44,10.72,1.44,1.1911111111111112,0.16,1.1911111111111112,0.16,1.1911111111111112,0.16
dag_10_nodes_10_edges_none_SF,BOSS,1.46,1.0,2.34,1.47,0.02,0.09,0.25,0.14,0.0,0.01,0.98,0.09,0.25,0.14,0.4,0.12,6.78,1.28,10.0,2.14,npy,dag,10,10,9,SF,SF,0.7533333333333334,0.14222222222222222,10.0,2.14,10.0,2.14,1.1111111111111112,0.23777777777777778,1.1111111111111112,0.23777777777777778,1.1111111111111112,0.23777777777777778
dag_10_nodes_10_edges_none_random,GRaSP,3.49,1.44,4.74,1.94,0.24,0.33,0.36,0.2,0.03,0.05,0.76,0.33,0.36,0.2,0.53,0.18,6.76,2.5,12.82,5.39,npy,dag,10,10,10,random,LT,0.6759999999999999,0.25,12.82,5.39,12.82,5.39,1.282,0.5389999999999999,1.282,0.5389999999999999,1.282,0.5389999999999999
dag_10_nodes_10_edges_none_random,BOSS,4.31,1.97,5.06,1.72,0.14,0.27,0.44,0.2,0.02,0.03,0.86,0.27,0.44,0.2,0.61,0.17,5.76,2.25,11.22,5.54,npy,dag,10,10,10,random,LT,0.576,0.225,11.22,5.54,11.22,5.54,1.122,0.554,1.122,0.554,1.122,0.554
dag_10_nodes_10_edges_semantics_ER,GRaSP,10.51,3.09,4.28,1.82,0.09,0.19,0.38,0.18,0.01,0.03,0.91,0.2,0.38,0.18,0.55,0.17,6.4,2.03,27.02,8.16,npy,dag,10,10,10,ER,ER,0.64,0.20299999999999999,27.02,8.16,27.02,8.16,2.702,0.8160000000000001,2.702,0.8160000000000001,2.702,0.8160000000000001
dag_10_nodes_10_edges_semantics_ER,BOSS,11.59,4.01,4.64,1.89,0.05,0.14,0.43,0.18,0.01,0.02,0.95,0.14,0.43,0.18,0.61,0.15,5.74,1.83,24.72,8.66,npy,dag,10,10,10,ER,ER,0.5740000000000001,0.183,24.72,8.66,24.72,8.66,2.472,0.866,2.472,0.866,2.472,0.866
dag_10_nodes_10_edges_semantics_SF,GRaSP,1.54,1.1,3.06,2.17,0.24,0.39,0.22,0.21,0.03,0.05,0.7,0.42,0.22,0.21,0.5,0.14,7.5,2.29,12.2,5.32,npy,dag,10,10,9,SF,SF,0.8333333333333334,0.2544444444444445,12.2,5.32,12.2,5.32,1.3555555555555554,0.5911111111111111,1.3555555555555554,0.5911111111111111,1.3555555555555554,0.5911111111111111
dag_10_nodes_10_edges_semantics_SF,BOSS,2.16,1.79,3.88,2.39,0.06,0.15,0.39,0.24,0.01,0.03,0.93,0.16,0.39,0.24,0.58,0.16,5.68,2.16,9.66,4.39,npy,dag,10,10,9,SF,SF,0.6311111111111111,0.24000000000000002,9.66,4.39,9.66,4.39,1.0733333333333333,0.48777777777777775,1.0733333333333333,0.48777777777777775,1.0733333333333333,0.48777777777777775
dag_10_nodes_10_edges_semantics_random,GRaSP,5.62,2.69,6.84,2.64,0.15,0.21,0.57,0.25,0.03,0.04,0.84,0.21,0.57,0.25,0.66,0.22,4.98,2.84,18.72,12.53,npy,dag,10,10,10,random,LT,0.49800000000000005,0.284,18.72,12.53,18.72,12.53,1.8719999999999999,1.253,1.8719999999999999,1.253,1.8719999999999999,1.253
dag_10_nodes_10_edges_semantics_random,BOSS,6.85,2.99,6.58,2.49,0.28,0.3,0.47,0.26,0.05,0.06,0.72,0.3,0.47,0.26,0.58,0.24,6.32,3.38,28.66,12.2,npy,dag,10,10,10,random,LT,0.632,0.33799999999999997,28.66,12.2,28.66,12.2,2.866,1.22,2.866,1.22,2.866,1.22
dag_10_nodes_15_edges_degrees_ER,GRaSP,10.16,5.02,10.02,2.93,0.13,0.18,0.57,0.2,0.05,0.07,0.87,0.18,0.57,0.2,0.68,0.18,6.98,3.38,28.24,12.52,npy,dag,10,15,15,ER,ER,0.4653333333333334,0.22533333333333333,28.24,12.52,28.24,12.52,1.8826666666666665,0.8346666666666667,1.8826666666666665,0.8346666666666667,1.8826666666666665,0.8346666666666667
dag_10_nodes_15_edges_degrees_ER,BOSS,13.16,5.75,9.92,2.83,0.08,0.14,0.6,0.18,0.03,0.05,0.92,0.14,0.6,0.18,0.71,0.16,6.4,2.89,26.68,11.37,npy,dag,10,15,15,ER,ER,0.4266666666666667,0.19266666666666668,26.68,11.37,26.68,11.37,1.7786666666666666,0.7579999999999999,1.7786666666666666,0.7579999999999999,1.7786666666666666,0.7579999999999999
dag_10_nodes_15_edges_degrees_SF,GRaSP,2.95,2.07,6.7,2.54,0.31,0.37,0.27,0.16,0.08,0.1,0.69,0.37,0.27,0.16,0.41,0.19,13.32,3.72,29.06,12.28,npy,dag,10,15,17,SF,SF,0.7835294117647059,0.21882352941176472,29.06,12.28,29.06,12.28,1.7094117647058822,0.7223529411764705,1.7094117647058822,0.7223529411764705,1.7094117647058822,0.7223529411764705
dag_10_nodes_15_edges_degrees_SF,BOSS,4.63,2.43,7.26,2.12,0.22,0.33,0.35,0.17,0.05,0.07,0.78,0.33,0.35,0.17,0.51,0.17,11.74,3.5,24.26,11.44,npy,dag,10,15,17,SF,SF,0.6905882352941176,0.20588235294117646,24.26,11.44,24.26,11.44,1.427058823529412,0.6729411764705882,1.427058823529412,0.6729411764705882,1.427058823529412,0.6729411764705882
dag_10_nodes_15_edges_degrees_random,GRaSP,7.25,2.63,10.98,2.65,0.13,0.22,0.64,0.22,0.05,0.08,0.87,0.22,0.64,0.22,0.72,0.22,5.96,3.82,22.0,16.55,npy,dag,10,15,15,random,LT,0.3973333333333333,0.25466666666666665,22.0,16.55,22.0,16.55,1.4666666666666666,1.1033333333333333,1.4666666666666666,1.1033333333333333,1.4666666666666666,1.1033333333333333
dag_10_nodes_15_edges_degrees_random,BOSS,9.92,4.1,10.64,2.32,0.08,0.19,0.66,0.2,0.03,0.06,0.92,0.19,0.66,0.2,0.76,0.19,5.48,3.52,18.9,12.59,npy,dag,10,15,15,random,LT,0.36533333333333334,0.23466666666666666,18.9,12.59,18.9,12.59,1.26,0.8393333333333334,1.26,0.8393333333333334,1.26,0.8393333333333334
dag_10_nodes_15_edges_none_ER,GRaSP,9.2,4.52,6.54,2.74,0.14,0.19,0.36,0.16,0.04,0.05,0.86,0.19,0.36,0.16,0.5,0.16,9.78,2.48,35.52,8.82,npy,dag,10,15,15,ER,ER,0.6519999999999999,0.16533333333333333,35.52,8.82,35.52,8.82,2.3680000000000003,0.588,2.3680000000000003,0.588,2.3680000000000003,0.588
dag_10_nodes_15_edges_none_ER,BOSS,11.48,4.91,7.58,2.9,0.12,0.15,0.44,0.17,0.03,0.05,0.88,0.15,0.44,0.17,0.56,0.17,8.74,2.73,32.56,8.72,npy,dag,10,15,15,ER,ER,0.5826666666666667,0.182,32.56,8.72,32.56,8.72,2.170666666666667,0.5813333333333334,2.170666666666667,0.5813333333333334,2.170666666666667,0.5813333333333334
dag_10_nodes_15_edges_none_SF,GRaSP,3.18,2.17,6.36,2.41,0.15,0.27,0.31,0.15,0.04,0.07,0.85,0.27,0.31,0.15,0.46,0.16,12.12,3.07,26.18,10.45,npy,dag,10,15,17,SF,SF,0.7129411764705882,0.18058823529411763,26.18,10.45,26.18,10.45,1.54,0.6147058823529411,1.54,0.6147058823529411,1.54,0.6147058823529411
dag_10_nodes_15_edges_none_SF,BOSS,5.03,3.32,7.32,1.89,0.09,0.21,0.39,0.13,0.03,0.07,0.91,0.21,0.39,0.13,0.54,0.16,10.66,2.81,21.82,10.56,npy,dag,10,15,17,SF,SF,0.6270588235294118,0.1652941176470588,21.82,10.56,21.82,10.56,1.2835294117647058,0.6211764705882353,1.2835294117647058,0.6211764705882353,1.2835294117647058,0.6211764705882353
dag_10_nodes_15_edges_none_random,GRaSP,3.01,1.56,7.62,2.41,0.24,0.28,0.39,0.19,0.06,0.07,0.76,0.28,0.39,0.19,0.53,0.19,9.68,3.3,22.76,9.85,npy,dag,10,15,15,random,LT,0.6453333333333333,0.22,22.76,9.85,22.76,9.85,1.5173333333333334,0.6566666666666666,1.5173333333333334,0.6566666666666666,1.5173333333333334,0.6566666666666666
dag_10_nodes_15_edges_none_random,BOSS,4.91,2.27,7.92,2.52,0.18,0.24,0.43,0.18,0.05,0.06,0.82,0.24,0.43,0.18,0.56,0.19,8.9,3.03,20.64,10.18,npy,dag,10,15,15,random,LT,0.5933333333333334,0.20199999999999999,20.64,10.18,20.64,10.18,1.3760000000000001,0.6786666666666666,1.3760000000000001,0.6786666666666666,1.3760000000000001,0.6786666666666666
dag_10_nodes_15_edges_semantics_ER,GRaSP,5.92,2.74,6.44,3.02,0.35,0.37,0.25,0.17,0.09,0.09,0.64,0.37,0.25,0.17,0.4,0.16,12.22,3.01,39.0,8.79,npy,dag,10,15,15,ER,ER,0.8146666666666668,0.20066666666666666,39.0,8.79,39.0,8.79,2.6,0.586,2.6,0.586,2.6,0.586
dag_10_nodes_15_edges_semantics_ER,BOSS,8.19,3.88,6.46,3.12,0.15,0.26,0.34,0.17,0.05,0.09,0.84,0.26,0.34,0.17,0.47,0.19,10.5,3.16,34.04,8.31,npy,dag,10,15,15,ER,ER,0.7,0.21066666666666667,34.04,8.31,34.04,8.31,2.2693333333333334,0.554,2.2693333333333334,0.554,2.2693333333333334,0.554
dag_10_nodes_15_edges_semantics_SF,GRaSP,5.54,2.66,10.48,2.43,0.25,0.28,0.47,0.22,0.09,0.11,0.75,0.28,0.47,0.22,0.59,0.23,9.88,4.77,26.22,13.91,npy,dag,10,15,17,SF,SF,0.5811764705882353,0.28058823529411764,26.22,13.91,26.22,13.91,1.5423529411764705,0.8182352941176471,1.5423529411764705,0.8182352941176471,1.5423529411764705,0.8182352941176471
dag_10_nodes_15_edges_semantics_SF,BOSS,8.07,3.54,11.04,2.36,0.24,0.27,0.48,0.19,0.1,0.11,0.76,0.27,0.48,0.19,0.58,0.21,9.98,4.26,25.6,11.99,npy,dag,10,15,17,SF,SF,0.5870588235294117,0.2505882352941176,25.6,11.99,25.6,11.99,1.5058823529411764,0.7052941176470588,1.5058823529411764,0.7052941176470588,1.5058823529411764,0.7052941176470588
dag_10_nodes_15_edges_semantics_random,GRaSP,6.4,3.41,8.5,3.38,0.22,0.23,0.43,0.17,0.07,0.09,0.78,0.23,0.43,0.17,0.54,0.18,9.46,3.1,30.76,9.18,npy,dag,10,15,15,random,LT,0.6306666666666667,0.20666666666666667,30.76,9.18,30.76,9.18,2.050666666666667,0.612,2.050666666666667,0.612,2.050666666666667,0.612
dag_10_nodes_15_edges_semantics_random,BOSS,9.43,4.67,8.68,2.55,0.07,0.14,0.53,0.16,0.02,0.05,0.93,0.14,0.53,0.16,0.66,0.15,7.32,2.65,24.5,6.95,npy,dag,10,15,15,random,LT,0.48800000000000004,0.17666666666666667,24.5,6.95,24.5,6.95,1.6333333333333333,0.4633333333333333,1.6333333333333333,0.4633333333333333,1.6333333333333333,0.4633333333333333
dag_15_nodes_15_edges_degrees_ER,GRaSP,15.25,5.56,4.4,2.26,0.11,0.22,0.25,0.13,0.01,0.02,0.88,0.23,0.25,0.13,0.39,0.14,11.46,1.93,33.14,6.5,npy,dag,15,15,15,ER,ER,0.764,0.12866666666666665,33.14,6.5,33.14,6.5,2.2093333333333334,0.43333333333333335,2.2093333333333334,0.43333333333333335,2.2093333333333334,0.43333333333333335
dag_15_nodes_15_edges_degrees_ER,BOSS,19.48,8.71,4.68,2.15,0.08,0.15,0.28,0.12,0.01,0.01,0.92,0.15,0.28,0.12,0.42,0.14,11.0,1.93,31.42,4.91,npy,dag,15,15,15,ER,ER,0.7333333333333333,0.12866666666666665,31.42,4.91,31.42,4.91,2.094666666666667,0.32733333333333337,2.094666666666667,0.32733333333333337,2.094666666666667,0.32733333333333337
dag_15_nodes_15_edges_degrees_SF,GRaSP,9.22,3.34,6.82,2.33,0.08,0.15,0.44,0.14,0.01,0.02,0.92,0.15,0.44,0.14,0.58,0.14,8.22,2.12,20.0,6.95,npy,dag,15,15,14,SF,SF,0.5871428571428572,0.15142857142857144,20.0,6.95,20.0,6.95,1.4285714285714286,0.49642857142857144,1.4285714285714286,0.49642857142857144,1.4285714285714286,0.49642857142857144
dag_15_nodes_15_edges_degrees_SF,BOSS,10.83,4.29,5.98,2.39,0.08,0.16,0.38,0.16,0.01,0.01,0.92,0.16,0.38,0.16,0.52,0.16,8.92,2.35,20.16,8.4,npy,dag,15,15,14,SF,SF,0.6371428571428571,0.16785714285714287,20.16,8.4,20.16,8.4,1.44,0.6,1.44,0.6,1.44,0.6
dag_15_nodes_15_edges_degrees_random,GRaSP,12.73,4.86,7.18,2.45,0.14,0.26,0.4,0.15,0.01,0.02,0.86,0.26,0.4,0.15,0.54,0.16,9.58,2.89,21.98,9.7,npy,dag,15,15,15,random,LT,0.6386666666666667,0.19266666666666668,21.98,9.7,21.98,9.7,1.4653333333333334,0.6466666666666666,1.4653333333333334,0.6466666666666666,1.4653333333333334,0.6466666666666666
dag_15_nodes_15_edges_degrees_random,BOSS,15.48,6.08,7.78,1.9,0.03,0.12,0.5,0.13,0.0,0.01,0.97,0.12,0.5,0.13,0.65,0.13,7.58,2.2,15.42,7.33,npy,dag,15,15,15,random,LT,0.5053333333333333,0.14666666666666667,15.42,7.33,15.42,7.33,1.028,0.4886666666666667,1.028,0.4886666666666667,1.028,0.4886666666666667
dag_15_nodes_15_edges_none_ER,GRaSP,22.34,8.69,6.28,2.11,0.11,0.17,0.36,0.1,0.01,0.02,0.89,0.17,0.36,0.1,0.5,0.12,10.0,1.77,33.6,5.69,npy,dag,15,15,15,ER,ER,0.6666666666666666,0.11800000000000001,33.6,5.69,33.6,5.69,2.24,0.37933333333333336,2.24,0.37933333333333336,2.24,0.37933333333333336
dag_15_nodes_15_edges_none_ER,BOSS,27.1,9.84,6.36,1.94,0.1,0.17,0.38,0.12,0.01,0.02,0.9,0.17,0.38,0.12,0.52,0.14,9.62,2.1,32.22,6.5,npy,dag,15,15,15,ER,ER,0.6413333333333333,0.14,32.22,6.5,32.22,6.5,2.148,0.43333333333333335,2.148,0.43333333333333335,2.148,0.43333333333333335
dag_15_nodes_15_edges_none_SF,GRaSP,4.14,1.83,4.04,1.73,0.12,0.24,0.24,0.11,0.01,0.01,0.87,0.24,0.24,0.11,0.39,0.13,10.78,1.74,17.2,9.02,npy,dag,15,15,14,SF,SF,0.7699999999999999,0.12428571428571429,17.2,9.02,17.2,9.02,1.2285714285714284,0.6442857142857142,1.2285714285714284,0.6442857142857142,1.2285714285714284,0.6442857142857142
dag_15_nodes_15_edges_none_SF,BOSS,5.22,2.14,4.64,2.15,0.22,0.32,0.24,0.14,0.01,0.02,0.77,0.32,0.24,0.14,0.4,0.14,11.2,2.66,19.04,10.52,npy,dag,15,15,14,SF,SF,0.7999999999999999,0.19,19.04,10.52,19.04,10.52,1.3599999999999999,0.7514285714285714,1.3599999999999999,0.7514285714285714,1.3599999999999999,0.7514285714285714
dag_15_nodes_15_edges_none_random,GRaSP,13.87,4.2,8.62,2.47,0.11,0.21,0.51,0.17,0.01,0.02,0.89,0.21,0.51,0.17,0.65,0.15,7.78,2.92,35.24,13.65,npy,dag,15,15,15,random,LT,0.5186666666666667,0.19466666666666665,35.24,13.65,35.24,13.65,2.3493333333333335,0.91,2.3493333333333335,0.91,2.3493333333333335,0.91
